,time,model
0,235.1928448677063,Linear
1,349.536434173584,LGB
2,344.33581590652466,LGB
3,359.4964790344238,LGB
4,360.5444538593292,LGB
5,74.49453711509705,Prophet
6,200.29317116737366,Prophet
7,265.0124180316925,Linear
8,89.62396693229675,Prophet
9,276.21820974349976,Linear
10,261.0036029815674,Linear
11,235.91043710708618,Linear
12,367.2996459007263,LGB
13,241.7150890827179,Linear
14,349.4495921134949,LGB
15,230.12672209739685,Linear
16,231.31573295593262,Linear
17,232.2255232334137,Linear
18,233.98650217056274,Linear
19,242.72599506378174,Linear
20,99.06936001777649,Prophet
21,233.16499876976013,Linear
22,233.05053114891052,Linear
23,234.518137216568,Linear
24,232.89492297172546,Linear
25,250.50469613075256,Linear
26,232.740051984787,Linear
27,230.9502031803131,Linear
28,229.42498207092285,Linear
29,229.01716685295105,Linear
30,236.65398025512695,Linear
31,229.4100148677826,Linear
32,338.0243499279022,LGB
33,228.61170315742493,Linear
34,225.92095398902893,Linear
35,229.20146012306213,Linear
36,245.68921494483948,Linear
37,85.0853660106659,Prophet
38,222.204922914505,Linear
39,224.16070890426636,Linear
40,349.2309191226959,LGB
41,223.76090908050537,Linear
42,222.6004638671875,Linear
43,222.35871386528015,Linear
44,343.5032272338867,LGB
45,221.6016390323639,Linear
46,222.88342595100403,Linear
47,222.65385103225708,Linear
48,221.35048913955688,Linear
49,221.47096014022827,Linear
50,222.17917323112488,Linear
51,222.28630304336548,Linear
52,348.9984288215637,LGB
53,221.73714518547058,Linear
54,221.639142036438,Linear
55,353.1425859928131,LGB
56,222.45283722877502,Linear
57,221.00381207466125,Linear
58,222.15218710899353,Linear
59,221.88691210746765,Linear
60,369.3927438259125,LGB
61,222.38732194900513,Linear
62,222.87381291389465,Linear
63,221.43176198005676,Linear
64,222.1070418357849,Linear
65,223.77150011062622,Linear
66,223.29003810882568,Linear
67,222.347069978714,Linear
68,224.55231475830078,Linear
69,222.3799159526825,Linear
70,222.75212407112122,Linear
71,222.41726279258728,Linear
72,222.6114628314972,Linear
73,222.24901294708252,Linear
74,222.85734009742737,Linear
75,345.93876600265503,LGB
76,222.26620197296143,Linear
77,223.33699774742126,Linear
78,223.83904933929443,Linear
79,222.7958788871765,Linear
80,222.23789501190186,Linear
81,223.25659608840942,Linear
82,224.02481198310852,Linear
83,222.2917718887329,Linear
84,222.07682013511658,Linear
85,222.77060103416443,Linear
86,223.1643099784851,Linear
87,224.4713568687439,Linear
88,222.71721601486206,Linear
89,223.00887513160706,Linear
90,229.1535129547119,Linear
91,72.9242160320282,Prophet
92,223.76569294929504,Linear
93,223.4386842250824,Linear
94,223.51097798347473,Linear
95,222.77998208999634,Linear
96,223.7169008255005,Linear
97,223.51308298110962,Linear
98,223.5232288837433,Linear
99,223.32889604568481,Linear
