,time,model
0,241.17002391815186,Linear
1,266.0691418647766,Linear
2,308.2317340373993,Linear
3,242.19610333442688,Linear
4,236.19427514076233,Linear
5,236.34984707832336,Linear
6,236.91168308258057,Linear
7,236.1011438369751,Linear
8,237.615868806839,Linear
9,235.15190315246582,Linear
10,236.03735423088074,Linear
11,237.0472810268402,Linear
12,240.72055411338806,Linear
13,237.11826419830322,Linear
14,245.529611825943,Linear
15,233.6932017803192,Linear
16,245.6312379837036,Linear
17,214.64169096946716,Linear
18,211.08047890663147,Linear
19,211.79931092262268,Linear
20,210.40776991844177,Linear
21,210.68223786354065,Linear
22,210.38899421691895,Linear
23,210.2646300792694,Linear
24,213.59427094459534,Linear
25,210.51549577713013,Linear
26,212.89763617515564,Linear
27,210.56693196296692,Linear
28,210.60861706733704,Linear
29,210.71661067008972,Linear
30,211.4964051246643,Linear
31,213.64851474761963,Linear
32,212.38596296310425,Linear
33,213.1435887813568,Linear
34,211.373281955719,Linear
35,211.399071931839,Linear
36,211.10828804969788,Linear
37,211.87410497665405,Linear
38,213.3324842453003,Linear
39,211.52022218704224,Linear
40,213.52155590057373,Linear
41,211.28676104545593,Linear
42,210.5520420074463,Linear
43,210.52853107452393,Linear
44,210.43045687675476,Linear
45,214.0002932548523,Linear
46,211.32851600646973,Linear
47,212.87007999420166,Linear
48,211.05937600135803,Linear
49,211.44146418571472,Linear
50,210.92913722991943,Linear
51,211.58380007743835,Linear
52,215.34541702270508,Linear
53,211.13863134384155,Linear
54,213.03897404670715,Linear
55,212.28168106079102,Linear
56,211.1191909313202,Linear
57,211.40862798690796,Linear
58,210.6825978755951,Linear
59,213.84439182281494,Linear
60,212.65522408485413,Linear
61,212.91137266159058,Linear
62,211.00352716445923,Linear
63,211.2470531463623,Linear
64,210.72711205482483,Linear
65,210.28157591819763,Linear
66,214.5927231311798,Linear
67,211.24307107925415,Linear
68,212.47064876556396,Linear
69,211.84743404388428,Linear
70,210.83875918388367,Linear
71,211.2590889930725,Linear
72,215.27532815933228,Linear
73,213.9383668899536,Linear
74,210.84432697296143,Linear
75,215.21343088150024,Linear
76,211.01316094398499,Linear
77,211.90387892723083,Linear
78,210.98181128501892,Linear
79,211.0525770187378,Linear
80,214.61012196540833,Linear
81,211.35297465324402,Linear
82,212.62121415138245,Linear
83,211.87870025634766,Linear
84,210.8141748905182,Linear
85,210.36742186546326,Linear
86,212.2975721359253,Linear
87,213.8844211101532,Linear
88,210.61836504936218,Linear
89,216.95896768569946,Linear
90,211.28441429138184,Linear
91,212.81246304512024,Linear
92,210.84281277656555,Linear
93,211.01448106765747,Linear
94,213.80414986610413,Linear
95,211.676922082901,Linear
96,212.90039682388306,Linear
97,210.94316506385803,Linear
98,211.31476211547852,Linear
99,211.54028701782227,Linear
