,parameter,rmse,model
0,"{'alpha': 0.060781093043904715, 'cyclic_feature_encoding': 'onehot'}",293.22867747895657,Linear
1,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 6, 'min_child_weight': 3.0, 'learning_rate': 0.5554238019468244, 'num_leaves': 150, 'min_gain_to_split': 2.0252227665626688, 'subsample': 0.5408816606127456, 'colsample_bytree': 0.8962239681035575, 'colsample_bynode': 0.7187222458964115, 'reg_lambda': 0.3004671442803992, 'reg_alpha': 19.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",449.41425611577256,LGB
2,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 2, 'min_child_weight': 3.0, 'learning_rate': 0.08462604558383234, 'num_leaves': 280, 'min_gain_to_split': 3.750365804145031, 'subsample': 0.849323584528444, 'colsample_bytree': 0.7380820177383502, 'colsample_bynode': 0.7874424103315718, 'reg_lambda': 0.843630212928997, 'reg_alpha': 43.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",324.0553577329507,LGB
3,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 2, 'min_child_weight': 8.0, 'learning_rate': 0.04235444886046508, 'num_leaves': 70, 'min_gain_to_split': 1.0213827966522973, 'subsample': 0.5881899546402295, 'colsample_bytree': 0.8289669868730056, 'colsample_bynode': 0.6907860995579638, 'reg_lambda': 0.29834132273860503, 'reg_alpha': 32.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",325.33868823840453,LGB
4,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 6.0, 'learning_rate': 0.08999230718209805, 'num_leaves': 80, 'min_gain_to_split': 5.140931706903211, 'subsample': 0.788344917061633, 'colsample_bytree': 0.7313295066244199, 'colsample_bynode': 0.6223446269094401, 'reg_lambda': 0.2633921766518815, 'reg_alpha': 67.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",329.76645811620926,LGB
5,"{'changepoint_prior_scale': 4.958397247309861, 'changepoint_range': 0.5664238824008516, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 26, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5144190326107568}",529.4204181614109,Prophet
6,"{'changepoint_prior_scale': 0.6560843983308912, 'changepoint_range': 0.6971001978449607, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.082787974871293}",564.5957050853666,Prophet
7,"{'alpha': 1.4527884599319312, 'cyclic_feature_encoding': 'onehot'}",297.17295197177987,Linear
8,"{'changepoint_prior_scale': 0.15905478711404128, 'changepoint_range': 0.612810005720044, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 14, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.037538743495458}",487.6667477741232,Prophet
9,"{'alpha': 0.360918920164877, 'cyclic_feature_encoding': 'onehot'}",294.1010979220812,Linear
