,parameter,rmse,model
0,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 9, 'min_child_weight': 5.0, 'learning_rate': 0.418054768293414, 'num_leaves': 50, 'min_gain_to_split': 5.839593913121771, 'subsample': 0.7539537617233739, 'colsample_bytree': 0.531003419008759, 'colsample_bynode': 0.6517865262266184, 'reg_lambda': 0.44594212646423004, 'reg_alpha': 21.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",425.29895477384963,LGB
1,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 5.0, 'learning_rate': 0.03312921942352247, 'num_leaves': 90, 'min_gain_to_split': 2.600717700802103, 'subsample': 0.7446446853239489, 'colsample_bytree': 0.8178982341329355, 'colsample_bynode': 0.6320981425389005, 'reg_lambda': 0.06296667480711579, 'reg_alpha': 9.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",309.6611890729142,LGB
2,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 6, 'min_child_weight': 9.0, 'learning_rate': 0.0498500981338402, 'num_leaves': 230, 'min_gain_to_split': 5.623899863490191, 'subsample': 0.7330104726329149, 'colsample_bytree': 0.6370809880656938, 'colsample_bynode': 0.7214187779088683, 'reg_lambda': 0.056279531938811994, 'reg_alpha': 80.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",331.69248757796277,LGB
3,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 3.0, 'learning_rate': 0.9112189265913119, 'num_leaves': 90, 'min_gain_to_split': 4.934913501871971, 'subsample': 0.7497413448597994, 'colsample_bytree': 0.55444987815825, 'colsample_bynode': 0.6509871839211612, 'reg_lambda': 0.29146448393063734, 'reg_alpha': 20.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",331.34991972961313,LGB
4,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 7, 'min_child_weight': 6.0, 'learning_rate': 0.03195137026277645, 'num_leaves': 160, 'min_gain_to_split': 8.275594353760269, 'subsample': 0.7960677061838493, 'colsample_bytree': 0.6775971602458939, 'colsample_bynode': 0.7630134669100629, 'reg_lambda': 0.48714017997926345, 'reg_alpha': 96.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",313.9948275398292,LGB
5,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 2, 'min_child_weight': 5.0, 'learning_rate': 0.15678882666045496, 'num_leaves': 100, 'min_gain_to_split': 3.151233000683849, 'subsample': 0.8358831126075253, 'colsample_bytree': 0.8618649013985347, 'colsample_bynode': 0.7460821122448483, 'reg_lambda': 0.5563420754980151, 'reg_alpha': 38.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",356.3801888108481,LGB
6,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 8, 'min_child_weight': 9.0, 'learning_rate': 0.14254518471659142, 'num_leaves': 110, 'min_gain_to_split': 7.685290456717583, 'subsample': 0.6771359774452615, 'colsample_bytree': 0.694151800363066, 'colsample_bynode': 0.7711384932140513, 'reg_lambda': 0.6389348944880187, 'reg_alpha': 99.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",337.69219217894664,LGB
7,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 8.0, 'learning_rate': 0.06631100758913622, 'num_leaves': 170, 'min_gain_to_split': 5.5264876857971625, 'subsample': 0.7097870688847677, 'colsample_bytree': 0.7255471283714283, 'colsample_bynode': 0.6256933708565051, 'reg_lambda': 0.19344242286334745, 'reg_alpha': 51.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",314.03749548123056,LGB
8,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 5, 'min_child_weight': 6.0, 'learning_rate': 0.0737904003885863, 'num_leaves': 100, 'min_gain_to_split': 5.325927628774469, 'subsample': 0.7093321224748226, 'colsample_bytree': 0.6767957279017482, 'colsample_bynode': 0.5447410690910065, 'reg_lambda': 0.4648435642006878, 'reg_alpha': 48.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",317.42988001635115,LGB
9,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 5, 'min_child_weight': 4.0, 'learning_rate': 0.08676710466662285, 'num_leaves': 60, 'min_gain_to_split': 4.042495704774332, 'subsample': 0.7195040448716783, 'colsample_bytree': 0.8503548655002249, 'colsample_bynode': 0.5981690013727771, 'reg_lambda': 0.14956986063163943, 'reg_alpha': 39.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",319.11023804470767,LGB
