,parameter,rmse,model
0,"{'alpha': 0.060781093043904715, 'cyclic_feature_encoding': 'sincos'}",294.88846047666686,Linear
1,"{'alpha': 0.0017859393209856333, 'cyclic_feature_encoding': 'onehot'}",300.83602795565037,Linear
2,"{'alpha': 0.0012823786784012213, 'cyclic_feature_encoding': 'onehot'}",304.1930283429763,Linear
3,"{'alpha': 0.008328196590579116, 'cyclic_feature_encoding': 'onehot'}",295.03256634132725,Linear
4,"{'alpha': 0.08883021636288554, 'cyclic_feature_encoding': 'sincos'}",295.0165787966839,Linear
5,"{'alpha': 0.4740274314137255, 'cyclic_feature_encoding': 'onehot'}",294.2209667292931,Linear
6,"{'alpha': 0.2460069427834335, 'cyclic_feature_encoding': 'sincos'}",290.90582723341043,Linear
7,"{'alpha': 0.09732994256823571, 'cyclic_feature_encoding': 'sincos'}",294.7751644452626,Linear
8,"{'alpha': 0.5451419618877424, 'cyclic_feature_encoding': 'sincos'}",293.0252290026888,Linear
9,"{'alpha': 0.08641621241838528, 'cyclic_feature_encoding': 'sincos'}",295.0086700502832,Linear
10,"{'alpha': 0.32415775346665465, 'cyclic_feature_encoding': 'sincos'}",291.8142463120969,Linear
11,"{'alpha': 0.8541918088342031, 'cyclic_feature_encoding': 'sincos'}",295.75591272423185,Linear
12,"{'alpha': 0.06654627352674371, 'cyclic_feature_encoding': 'onehot'}",293.3120691230964,Linear
13,"{'alpha': 0.08526281350548896, 'cyclic_feature_encoding': 'sincos'}",294.9937175328462,Linear
14,"{'alpha': 0.024246846579798448, 'cyclic_feature_encoding': 'onehot'}",293.94007416109923,Linear
15,"{'alpha': 0.4913246838046911, 'cyclic_feature_encoding': 'sincos'}",292.7901734253207,Linear
16,"{'alpha': 0.017755449744941452, 'cyclic_feature_encoding': 'onehot'}",294.7509170888157,Linear
17,"{'alpha': 0.5319218292856024, 'cyclic_feature_encoding': 'sincos'}",292.9572191560475,Linear
18,"{'alpha': 0.8608395963818962, 'cyclic_feature_encoding': 'sincos'}",295.8305444379205,Linear
19,"{'alpha': 0.1679661485933479, 'cyclic_feature_encoding': 'sincos'}",292.415172051337,Linear
20,"{'alpha': 0.20335252617121377, 'cyclic_feature_encoding': 'sincos'}",291.1182453766049,Linear
21,"{'alpha': 0.3827686934970882, 'cyclic_feature_encoding': 'sincos'}",292.1409323184178,Linear
22,"{'alpha': 0.19040314317940277, 'cyclic_feature_encoding': 'sincos'}",291.48435981369175,Linear
23,"{'alpha': 0.5394863141178203, 'cyclic_feature_encoding': 'sincos'}",292.99541883232223,Linear
24,"{'alpha': 0.5604102229929239, 'cyclic_feature_encoding': 'sincos'}",293.1091044170009,Linear
25,"{'alpha': 0.16250269014114122, 'cyclic_feature_encoding': 'sincos'}",292.6364587347822,Linear
26,"{'alpha': 0.22520783705416297, 'cyclic_feature_encoding': 'sincos'}",290.73937427942536,Linear
27,"{'alpha': 0.5428536591884523, 'cyclic_feature_encoding': 'sincos'}",293.0130402503685,Linear
28,"{'alpha': 0.22742191170461526, 'cyclic_feature_encoding': 'sincos'}",290.75024785810206,Linear
29,"{'alpha': 0.15061029217052774, 'cyclic_feature_encoding': 'sincos'}",293.1605888137627,Linear
30,"{'alpha': 0.2803755422410846, 'cyclic_feature_encoding': 'sincos'}",291.3518352664395,Linear
31,"{'alpha': 0.16553889123622964, 'cyclic_feature_encoding': 'sincos'}",292.49904276581043,Linear
32,"{'alpha': 0.08360604857614018, 'cyclic_feature_encoding': 'sincos'}",294.97358895120436,Linear
33,"{'alpha': 0.37373481586292095, 'cyclic_feature_encoding': 'sincos'}",292.1056557692685,Linear
34,"{'alpha': 0.17105467211789066, 'cyclic_feature_encoding': 'sincos'}",292.30068706658335,Linear
