,parameter,rmse,model
0,"{'changepoint_prior_scale': 0.22919085888150767, 'changepoint_range': 0.7335837565248708, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 15, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.8028847572555368}",602.5701096650056,Prophet
1,"{'changepoint_prior_scale': 0.03567249467417419, 'changepoint_range': 0.7146780434732111, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 9, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.6836520807210191}",609.109003814702,Prophet
2,"{'changepoint_prior_scale': 0.10748567698223419, 'changepoint_range': 0.8776635543752421, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 41, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.5592146557306978}",542.4954651907794,Prophet
3,"{'changepoint_prior_scale': 0.01917981733722966, 'changepoint_range': 0.6174902863369656, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 14, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.727346545015062}",534.7919206797292,Prophet
4,"{'changepoint_prior_scale': 0.5258784939015023, 'changepoint_range': 0.6828445779509288, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 35, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 2.3855167183381814}",582.5720005441901,Prophet
5,"{'changepoint_prior_scale': 0.021484211148491965, 'changepoint_range': 0.6375000208925137, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 22, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 3.515843902167811}",560.427480171143,Prophet
6,"{'changepoint_prior_scale': 0.2315277162646207, 'changepoint_range': 0.8878009668653639, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 50, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.10318067759411588}",538.3819196829172,Prophet
7,"{'changepoint_prior_scale': 0.10995887670625532, 'changepoint_range': 0.7304768803133973, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 28, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.3983907598055751}",568.3776091201208,Prophet
8,"{'changepoint_prior_scale': 0.29654190505032985, 'changepoint_range': 0.719929362004046, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 36, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5548383182308667}",530.786604158436,Prophet
9,"{'changepoint_prior_scale': 0.908104318884429, 'changepoint_range': 0.6556942289472796, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 41, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3594277823162604}",394.98707875066106,Prophet
10,"{'changepoint_prior_scale': 1.6821905416343, 'changepoint_range': 0.5932198936706654, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 39, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.15953476377087242}",521.327809327131,Prophet
11,"{'changepoint_prior_scale': 0.8732305218904163, 'changepoint_range': 0.6842050727753408, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 49, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.23455104239737692}",611.5886929803272,Prophet
12,"{'changepoint_prior_scale': 3.893646958477527, 'changepoint_range': 0.5783414320236508, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 30, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 1.2378692331106778}",502.6552458032555,Prophet
13,"{'changepoint_prior_scale': 0.37733834525573834, 'changepoint_range': 0.6219798963607543, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 34, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.10823054383878944}",512.7122196912068,Prophet
14,"{'changepoint_prior_scale': 0.885560195368335, 'changepoint_range': 0.8067386487456036, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 40, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.280997836182525}",540.3218185410547,Prophet
15,"{'changepoint_prior_scale': 1.3902959840544467, 'changepoint_range': 0.7213122460317475, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5446907322523745}",533.276847376507,Prophet
16,"{'changepoint_prior_scale': 4.891933289577903, 'changepoint_range': 0.7953896966812877, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5107106379108212}",549.4466180153518,Prophet
17,"{'changepoint_prior_scale': 0.4596623799266418, 'changepoint_range': 0.6016907506641657, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 46, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.26127441767653337}",528.4409236357609,Prophet
18,"{'changepoint_prior_scale': 0.7127020068457677, 'changepoint_range': 0.694946189080071, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.17775328831782852}",574.3558668823966,Prophet
19,"{'changepoint_prior_scale': 0.8023526932642825, 'changepoint_range': 0.6082824234100809, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.11697066498962339}",419.48344813851486,Prophet
20,"{'changepoint_prior_scale': 1.832076636272987, 'changepoint_range': 0.5850448434695145, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 46, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.23431548765399066}",390.2795860586229,Prophet
21,"{'changepoint_prior_scale': 1.0904484592417067, 'changepoint_range': 0.5404397576660251, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.06698238582436117}",466.0438325366688,Prophet
