,parameter,rmse_mean,mse_mean,mae_mean,mape_mean,rmse_std,mse_std,mae_std,mape_std,model
0,"{'boosting': 'gbdt', 'colsample_bynode': 0.5496520318410016, 'colsample_bytree': 0.5056597272467027, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.6233217312610632, 'max_depth': 8, 'min_child_weight': 3, 'min_gain_to_split': 6.3547425475840145, 'num_leaves': 240, 'reg_alpha': 83, 'reg_lambda': 0.11464790556616544, 'subsample': 0.702123388298383}",416.29132440438565,191966.62438946046,328.38820258458776,0.17184731419875193,138.56959820596677,156599.09075828752,102.3673971873057,0.050229455244844824,LGB
1,"{'boosting': 'gbdt', 'colsample_bynode': 0.6880357814278268, 'colsample_bytree': 0.8545065077951701, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.31709099655908146, 'max_depth': 3, 'min_child_weight': 6, 'min_gain_to_split': 4.9366470829827485, 'num_leaves': 160, 'reg_alpha': 26, 'reg_lambda': 0.9245388519732806, 'subsample': 0.6023099220628073}",377.364635863361,161946.53226464737,295.97556188031126,0.15414463237490014,141.7773605861341,140381.54131577315,88.13666478617682,0.04711867661994883,LGB
2,"{'boosting': 'gbdt', 'colsample_bynode': 0.7032895513553503, 'colsample_bytree': 0.8016545871443572, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.09180099570956315, 'max_depth': 8, 'min_child_weight': 5, 'min_gain_to_split': 1.1626113349145328, 'num_leaves': 230, 'reg_alpha': 93, 'reg_lambda': 0.5494306467858185, 'subsample': 0.6333985735456683}",339.37180827265337,132676.70398644242,262.3812379088542,0.13393351796424935,134.17741671841011,129136.94466016062,91.89862033880317,0.043195129507201155,LGB
3,"{'boosting': 'dart', 'colsample_bynode': 0.5468417612689048, 'colsample_bytree': 0.5078845402539929, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.05965698095407993, 'max_depth': 2, 'min_child_weight': 2, 'min_gain_to_split': 8.053205774953613, 'num_leaves': 220, 'reg_alpha': 6, 'reg_lambda': 0.2534048379192876, 'subsample': 0.5388933899473505}",326.7733430304669,121072.44434915918,256.72690961299986,0.14019734219949054,121.24338672022746,108048.91614788462,80.29462403680213,0.053565857855214186,LGB
4,"{'boosting': 'dart', 'colsample_bynode': 0.5487479663981955, 'colsample_bytree': 0.6868886658313342, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.5415517259525624, 'max_depth': 3, 'min_child_weight': 8, 'min_gain_to_split': 6.266033749990959, 'num_leaves': 30, 'reg_alpha': 50, 'reg_lambda': 0.4348554671234486, 'subsample': 0.8143430231009874}",326.7767005499751,119716.10426682404,259.804619731068,0.14483621273319083,115.33693756020787,97680.24938752287,81.4239658876636,0.0526908594836666,LGB
5,"{'boosting': 'dart', 'colsample_bynode': 0.5487926489283861, 'colsample_bytree': 0.5721156933896089, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.02998846770196173, 'max_depth': 3, 'min_child_weight': 7, 'min_gain_to_split': 8.21381297254617, 'num_leaves': 70, 'reg_alpha': 81, 'reg_lambda': 0.6372590618936315, 'subsample': 0.6914945605571048}",311.5342984046986,111274.21591254775,241.19383440070942,0.125926513607337,120.94171983485505,104881.4580498525,77.5669608164938,0.04070533169169503,LGB
6,"{'boosting': 'gbdt', 'colsample_bynode': 0.7343716500781718, 'colsample_bytree': 0.5756731224993876, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.054116438227074605, 'max_depth': 8, 'min_child_weight': 2, 'min_gain_to_split': 2.7205642280912845, 'num_leaves': 280, 'reg_alpha': 44, 'reg_lambda': 0.5906455890420234, 'subsample': 0.5148699919010649}",336.0330825153523,128668.65993205465,257.78263094804856,0.13128890240974003,127.28094750727763,115269.02454044737,78.31381875694696,0.03944623418612757,LGB
7,"{'boosting': 'gbdt', 'colsample_bynode': 0.7359942012700176, 'colsample_bytree': 0.5904655578708827, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.03176197607122525, 'max_depth': 8, 'min_child_weight': 9, 'min_gain_to_split': 6.34973840094899, 'num_leaves': 160, 'reg_alpha': 98, 'reg_lambda': 0.023354574545552342, 'subsample': 0.8233431349563097}",323.4153666663717,119421.07077372723,252.48996823644924,0.13249697733592555,123.4791560895094,113071.73939391371,77.84920514800282,0.04250119688561326,LGB
8,"{'boosting': 'dart', 'colsample_bynode': 0.6866765139660584, 'colsample_bytree': 0.5748120409190938, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.025169000121683854, 'max_depth': 6, 'min_child_weight': 3, 'min_gain_to_split': 9.600734981797867, 'num_leaves': 130, 'reg_alpha': 96, 'reg_lambda': 0.7964494586893848, 'subsample': 0.775124681161879}",340.62098710950227,135189.40513585514,262.4635622014243,0.129947578533377,140.40786892382226,128123.21513577242,94.4397577047557,0.040763798570848185,LGB
9,"{'boosting': 'gbdt', 'colsample_bynode': 0.729247788827791, 'colsample_bytree': 0.7125517253314035, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.5869828335645453, 'max_depth': 4, 'min_child_weight': 3, 'min_gain_to_split': 9.675986335545325, 'num_leaves': 210, 'reg_alpha': 32, 'reg_lambda': 0.42599478680147673, 'subsample': 0.6822803991804299}",407.74643392414885,186520.97052978046,318.5894087135762,0.16949323654856713,144.37029586341274,150327.0090682238,93.77358966744607,0.052176417273755465,LGB
10,"{'boosting': 'gbdt', 'colsample_bynode': 0.6476604224096612, 'colsample_bytree': 0.8587148176303085, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.09959783455222519, 'max_depth': 5, 'min_child_weight': 9, 'min_gain_to_split': 8.541472709352215, 'num_leaves': 10, 'reg_alpha': 18, 'reg_lambda': 0.8564940006952253, 'subsample': 0.7738372157503928}",335.332083693869,128646.58334556095,259.7154588147111,0.13495642297058486,129.08061397870753,115987.61118332401,84.26058251975988,0.04355087888332919,LGB
11,"{'boosting': 'gbdt', 'colsample_bynode': 0.8718617625736211, 'colsample_bytree': 0.5664530045611686, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.061847723156402384, 'max_depth': 7, 'min_child_weight': 2, 'min_gain_to_split': 2.4681176335120316, 'num_leaves': 210, 'reg_alpha': 20, 'reg_lambda': 0.7278317732518639, 'subsample': 0.6428227041461626}",339.45376794497724,131361.97821919958,260.63653464254304,0.13314124684104398,128.81794853842106,118030.11633458883,77.79949723917044,0.038474502781056547,LGB
12,"{'boosting': 'gbdt', 'colsample_bynode': 0.8399267862251445, 'colsample_bytree': 0.6500038318766741, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.050909811973258126, 'max_depth': 4, 'min_child_weight': 9, 'min_gain_to_split': 9.661366763023674, 'num_leaves': 120, 'reg_alpha': 1, 'reg_lambda': 0.14668841994460236, 'subsample': 0.8787497979062469}",337.4446217336952,132011.75853341998,258.3786055881157,0.13043319614126922,136.60620030597238,127375.20022720529,85.19083057237245,0.03823360670227869,LGB
13,"{'boosting': 'dart', 'colsample_bynode': 0.5285808915676541, 'colsample_bytree': 0.8964841049070172, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.04535764854992916, 'max_depth': 9, 'min_child_weight': 8, 'min_gain_to_split': 4.863700540309033, 'num_leaves': 110, 'reg_alpha': 51, 'reg_lambda': 0.9026979436159995, 'subsample': 0.5738986871801511}",340.0121832141931,133509.50152305534,260.6482823107035,0.12905277512184973,135.69333117659508,128850.00097068801,95.03743611836119,0.04010089527945705,LGB
14,"{'boosting': 'dart', 'colsample_bynode': 0.5672081727831014, 'colsample_bytree': 0.5236057616077598, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.07309170844352485, 'max_depth': 6, 'min_child_weight': 7, 'min_gain_to_split': 9.759279047159708, 'num_leaves': 70, 'reg_alpha': 10, 'reg_lambda': 0.9455522270491101, 'subsample': 0.8865209429625118}",319.8581639198824,116937.30706154752,249.8277888993828,0.1315262219925094,122.66216476538555,109360.24346075652,77.34855582036751,0.04519874142543595,LGB
15,"{'boosting': 'dart', 'colsample_bynode': 0.7058988940578244, 'colsample_bytree': 0.8415799447565538, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.030405581075397464, 'max_depth': 8, 'min_child_weight': 3, 'min_gain_to_split': 4.275445109543217, 'num_leaves': 110, 'reg_alpha': 65, 'reg_lambda': 0.3605822730429332, 'subsample': 0.8653554236181809}",357.61995165168446,149938.7530913674,273.4212321613852,0.1329840213029615,150.5876145345783,146823.47376246058,105.34002680393881,0.04236874031066234,LGB
