,parameter,rmse_mean,mse_mean,mae_mean,mape_mean,rmse_std,mse_std,mae_std,mape_std,model
0,"{'alpha': 1.151278033073256, 'cyclic_feature_encoding': 'sincos'}",298.15655311622396,104806.2828239225,231.11074228423024,0.12203030481554694,127.91987399260005,102679.69633624062,83.77981752521515,0.05120170274780703,Linear
1,"{'alpha': 0.3345687780986316, 'cyclic_feature_encoding': 'sincos'}",291.9223488096771,100867.36447201647,224.14952128297375,0.11903782328526256,126.86927383823951,101469.42837255135,84.03901610372787,0.05406974666182401,Linear
2,"{'alpha': 0.4971269099177427, 'cyclic_feature_encoding': 'sincos'}",292.81764517953224,101526.41560219385,225.5652105903547,0.11942390509254056,127.41750517250274,101916.74772116604,83.87791591714355,0.05301496977381449,Linear
3,"{'alpha': 0.005826881547800799, 'cyclic_feature_encoding': 'sincos'}",296.37126016329694,102603.03845621209,229.13862417444585,0.12393674968115459,123.24379159043526,105260.38515583891,81.32739614378283,0.055998544286038926,Linear
4,"{'alpha': 0.009820552999678291, 'cyclic_feature_encoding': 'onehot'}",295.15531670273396,100457.13798232691,228.15774701282902,0.1233833097287106,117.13937634406616,93659.57994299848,76.62833924425371,0.05200881899750404,Linear
5,"{'alpha': 0.13310314174328453, 'cyclic_feature_encoding': 'onehot'}",293.9943212854473,101151.97943787304,226.6576585762698,0.12175007685058264,123.04418087269777,97923.27851118174,80.58371727810872,0.05282836252030406,Linear
6,"{'alpha': 0.22870325566094915, 'cyclic_feature_encoding': 'sincos'}",290.75796585567565,99994.0385799393,223.04747964308953,0.11883226321133177,126.07689030006667,100764.89869842671,83.68601529476771,0.0544336104607814,Linear
7,"{'alpha': 0.0630702210092422, 'cyclic_feature_encoding': 'onehot'}",293.24410534806634,100070.91180323246,226.61241284713788,0.12228064114085622,120.33726810764655,95363.72329732955,78.74019791003747,0.052234336918483976,Linear
8,"{'alpha': 9.866978297326623, 'cyclic_feature_encoding': 'sincos'}",335.20431194195095,124839.84552343533,264.7778703984872,0.14733021340559058,113.28912847129672,90304.7130412987,83.40342564953649,0.05652471080227888,Linear
9,"{'alpha': 0.45076917438535524, 'cyclic_feature_encoding': 'onehot'}",294.3069370116696,102025.76694410664,227.05510824865513,0.1211537994311358,125.89462438914862,100905.69802930711,81.35752919916749,0.05169006366324982,Linear
10,"{'alpha': 0.7126629475396294, 'cyclic_feature_encoding': 'sincos'}",294.335899058727,102543.37096694965,227.483735499237,0.12031945569650021,127.92307752492269,102352.53091985354,83.96509830484503,0.052233033962102104,Linear
11,"{'alpha': 0.007837788611110098, 'cyclic_feature_encoding': 'onehot'}",294.6977519717008,100197.21694634091,227.99120820947525,0.12323975447373146,117.18316181455971,93493.90467593884,76.83814529136367,0.051989984794626035,Linear
12,"{'alpha': 1.4584707160841526, 'cyclic_feature_encoding': 'onehot'}",297.2094030218815,103727.921947731,230.72687084756353,0.12143759193687509,125.83455547570406,99811.87664302987,82.31317168256537,0.04932438061158332,Linear
13,"{'alpha': 1.237750354555526, 'cyclic_feature_encoding': 'onehot'}",295.81689036504656,102948.37282966105,229.1252898563124,0.12095962271123217,126.02342722785902,100009.11222295348,81.62280470302532,0.04967014772098073,Linear
14,"{'alpha': 0.025573054984374118, 'cyclic_feature_encoding': 'onehot'}",293.78584367958706,99756.74491514,227.32659016592328,0.12294010769776828,117.60447353858551,93563.88945686536,77.27527596757675,0.05220118312711388,Linear
15,"{'alpha': 0.026554534769339916, 'cyclic_feature_encoding': 'sincos'}",295.3701185185047,102457.95067340312,227.767407342294,0.12265049210152484,125.09653133841832,105843.63284851887,83.10744626460179,0.056257938615011,Linear
16,"{'alpha': 0.0027631234860710455, 'cyclic_feature_encoding': 'sincos'}",301.3740156681898,106130.1009273962,233.8130096954584,0.12680615549759214,125.4633617398588,105930.11210748907,82.13560045186155,0.05610243567403996,Linear
17,"{'alpha': 5.313424809083046, 'cyclic_feature_encoding': 'sincos'}",307.49571834192886,109046.25143653869,239.67156923226295,0.12843837743590256,122.09303793947053,94366.24043153276,85.86132272398626,0.05249099605527259,Linear
18,"{'alpha': 0.015709407658337577, 'cyclic_feature_encoding': 'onehot'}",294.91814966397027,100314.01278128807,227.91667932060375,0.12327475061877734,117.12541752722676,93344.87550910737,76.74115602883563,0.05205324217610482,Linear
19,"{'alpha': 0.13317148741672996, 'cyclic_feature_encoding': 'sincos'}",293.6716054525293,101874.77025323022,226.07417096475888,0.1208482318312948,126.80055233655165,103729.73936766858,84.17138905810073,0.05527177023768738,Linear
20,"{'alpha': 6.572073169997367, 'cyclic_feature_encoding': 'onehot'}",314.88740670899983,112818.92536952134,247.40608002865383,0.1349387291380453,118.55492672315972,92678.67779975719,83.3082714568826,0.05421529195350077,Linear
21,"{'alpha': 0.01341857451130651, 'cyclic_feature_encoding': 'sincos'}",295.77268631463096,102425.68356616444,228.40366338313302,0.12334879620016818,123.9805580922256,105728.18866339544,82.1526413423474,0.05631123539538441,Linear
22,"{'alpha': 2.6721245714822146, 'cyclic_feature_encoding': 'onehot'}",300.07577998821097,105343.82036617199,232.74574720566255,0.12145869377514767,125.44099110202,99232.59499982522,85.09669541152834,0.048788884458594195,Linear
23,"{'alpha': 0.0038086285592784947, 'cyclic_feature_encoding': 'onehot'}",295.4445298066424,101125.26587580125,228.9403583063882,0.12373857735780179,119.30281335358333,94483.9189890962,78.50764998098177,0.05257677124392563,Linear
24,"{'alpha': 0.003423144136692191, 'cyclic_feature_encoding': 'sincos'}",299.5932254452686,104801.09685268172,232.03727917991495,0.12572055081056208,124.39796281282766,105479.797542125,81.77427166147663,0.05608385543315845,Linear
