,parameter,rmse_mean,mse_mean,mae_mean,mape_mean,rmse_std,mse_std,mae_std,mape_std,model
0,"{'changepoint_prior_scale': 1.8860849741211183, 'changepoint_range': 0.5193376207504562, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.01721327156030789}",466.0837805446677,235978.949595499,385.16291286260525,0.19348027060445222,138.85397549870325,140888.742965577,125.42247204365712,0.04119937360032572,Prophet
1,"{'changepoint_prior_scale': 0.7853831956288805, 'changepoint_range': 0.6945832035492829, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 44, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 7.472970083755165}",633.6307067863198,445212.73197528603,558.9827388531553,0.29429763587532803,212.07107556121497,271955.8834489947,209.6226972309302,0.09156288596073937,Prophet
2,"{'changepoint_prior_scale': 0.4887760069044144, 'changepoint_range': 0.5241777288676505, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 31, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.04018105889614119}",452.89224455661247,218948.831028665,374.0885219422706,0.20261694632235142,119.30130529389946,113911.24326905626,110.42700443083912,0.0494078610468956,Prophet
3,"{'changepoint_prior_scale': 0.7477922613490605, 'changepoint_range': 0.5856190162945647, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 18, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.05003162419504112}",499.4664450633727,269653.6158993641,422.2088684702836,0.22510396121210915,144.09598998924858,150187.09908922508,139.56502475329125,0.056693480345053886,Prophet
4,"{'changepoint_prior_scale': 1.03882707994923, 'changepoint_range': 0.7050552284795101, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 15, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.026945471486452998}",558.490198674238,359968.3292350585,488.8957940476146,0.2323000312857174,222.3287771307086,255863.0958754229,215.63088794061255,0.08920088813053553,Prophet
5,"{'changepoint_prior_scale': 0.05851675204380856, 'changepoint_range': 0.8579111712325413, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 9.438474309021307}",516.4482399942052,293892.7745996024,436.4207442454756,0.21255639134863763,167.18370052418769,186253.40801841518,155.76661098021285,0.05157605735175115,Prophet
6,"{'changepoint_prior_scale': 9.383778808492131, 'changepoint_range': 0.8344966536515229, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 16, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.022133444653012764}",494.3726323261516,279561.45713365125,424.75152733620416,0.20207083702761308,190.16216173573443,200862.21894813754,180.01696857123525,0.06998971488253125,Prophet
7,"{'changepoint_prior_scale': 0.030429895907535608, 'changepoint_range': 0.8793704653099204, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 14, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.07704842516118814}",595.892119805972,396738.6323755518,514.0289932560429,0.24630801847133826,206.98127599465153,255641.30094971848,197.9091877321407,0.0737071502705956,Prophet
8,"{'changepoint_prior_scale': 5.854252777113768, 'changepoint_range': 0.8013059605802941, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 16, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.49615861946327544}",572.4078674595903,359059.9407847958,496.50612803729445,0.26198842533529804,179.7403099701467,211612.11828413408,176.3345778782725,0.07286028981449189,Prophet
9,"{'changepoint_prior_scale': 0.049172958645835554, 'changepoint_range': 0.7990295118106068, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.13153642858954043}",548.4778700360007,347059.1231339874,478.91403747061463,0.22763917462890929,218.06430059118793,247459.69970508775,210.8318386229864,0.0866078674911901,Prophet
